et,away,home,spread_home,total,fav,margin,proj_home,proj_away,proj_score,p_fav_win_spread,ml_fair_home_pct,ml_fair_home_am,ml_hold_pct,tot_fair_over_pct,tot_hold_pct,spr_fair_home_pct,spr_hold_pct,venue,hfa_crowd,hfa_alt,hfa_total,hfa_vs_flat25,weather,confidence,edge_type,best_bet,notes
19:30,Oregon,USC,3.5,61.5,Oregon,3.5,29.0,32.5,USC 29.0 - Oregon 32.5,58.4,39.11,156,4.42,50.0,4.55,50.93,4.51,Los Angeles Memorial Coliseum,2.2,0.0,2.2,-0.3,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed",ORE -1.5 to -3.5 across books; SP+ ORE 5th USC 8th vs AP 20/12
19:30,Appalachian State,NC State,-14.0,55.5,NC State,14.0,34.8,20.7,NC State 34.8 - Appalachian State 20.7,80.2,85.65,-597,4.37,,,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed",alt -13.5
19:30,Arizona,Washington State,10.5,48.5,Arizona,10.5,19.0,29.5,Washington State 19.0 - Arizona 29.5,73.8,19.73,407,4.35,50.0,4.55,,,,,,,,not retrieved,Medium,Shop,"Books disagree - take the better number, no model needed","ARIZ fav on road; sp 9.5-10.5, tot 47.5-48.5"
21:00,Oregon State,UTEP,10.5,55.5,Oregon State,10.5,22.5,33.0,UTEP 22.5 - Oregon State 33.0,73.8,,,,,,,,,,,,,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,ORST fav on road; both 1-2
22:30,Air Force,Nevada,5.5,50.5,Air Force,5.5,22.5,28.0,Nevada 22.5 - Air Force 28.0,63.1,,,,,,,,Mackay Stadium,2.5,0.0,2.5,0.0,not retrieved,Medium,None,No bet - no independent number vs a fairly priced market,AFA fav on road
19:30,Texas A&M,LSU,-9.5,52.5,LSU,9.5,31.0,21.5,LSU 31.0 - Texas A&M 21.5,71.8,,,,,,,,Tiger Stadium (Death Valley),4.0,0.0,4.0,1.5,"Partly cloudy 66F, light/variable, 7% precip",Low,Shop,"Books disagree - take the better number, no model needed",opened A&M +10.5; totals 52-53.5
12:00,Virginia Tech,Boston College,14.5,47.5,Virginia Tech,14.5,16.5,31.0,Boston College 16.5 - Virginia Tech 31.0,81.0,,,,,,,,,,,,,not retrieved,Low,Shop,"Books disagree - take the better number, no model needed",VT fav on road; totals 47.5/48.5/49.5
12:00,Bucknell,Pittsburgh,-53.5,63.5,Pittsburgh,53.5,58.5,5.0,Pittsburgh 58.5 - Bucknell 5.0,99.9,,,,,,,,,,,,,not retrieved,Low,Structural,Favorite 2H under / team-total under (fav implied 58.5); NOT the side,"Pitt 3-0, BUCK 1-3"
15:00,Central Arkansas,Florida State,-45.5,63.5,Florida State,45.5,54.5,9.0,Florida State 54.5 - Central Arkansas 9.0,99.7,,,,,,,,Doak Campbell Stadium,3.3,0.0,3.3,0.8,not retrieved,Low,Structural,Favorite 2H under / team-total under (fav implied 54.5); NOT the side,
15:30,William & Mary,Duke,-43.5,62.5,Duke,43.5,53.0,9.5,Duke 53.0 - William & Mary 9.5,99.6,,,,,,,,,,,,,not retrieved,Low,Structural,Favorite 2H under / team-total under (fav implied 53.0); NOT the side,
21:00,Missouri State,SMU,-34.5,59.5,SMU,34.5,47.0,12.5,SMU 47.0 - Missouri State 12.5,98.2,,,,,,,,,,,,,not retrieved,Low,Structural,Favorite 2H under / team-total under (fav implied 47.0); NOT the side,"SMU #22 2-1, MOST 1-2"
